age_rating_s,age rating s,健全
1girl,1girl,女の子1人
solo,solo,ソロ
long_hair,long hair,長い髪
highres,highres,高解像度
breasts,breasts,おっぱい
blush,blush,赤面
smile,smile,スマイル
short_hair,short hair,ショートヘア
looking_at_viewer,looking at viewer,ビューアを見て
open_mouth,open mouth,口を開けてる
multiple_girls,multiple girls,複数の女の子
blue_eyes,blue eyes,青い目
blonde_hair,blonde hair,ブロンドの髪
brown_hair,brown hair,茶髪
touhou,touhou,東方
skirt,skirt,スカート
hat,hat,帽子
thighhighs,thighhighs,ニーソックス
large_breasts,large breasts,大きな胸
black_hair,black hair,黒髪
red_eyes,red eyes,赤い目
bad_id,bad id,悪いID
age_rating_q,age rating q,卑猥かも？
2girls,2girls,女の子2人
bad_pixiv_id,bad pixiv id,悪いピクシブのID
ribbon,ribbon,リボン
gloves,gloves,手袋
hair_ornament,hair ornament,髪飾り
dress,dress,ドレス
simple_background,simple background,シンプルな背景
1boy,1boy,男1人
bow,bow,弓
original,original,元の
brown_eyes,brown eyes,茶色の目
school_uniform,school uniform,学生服
twintails,twintails,ツインテール
bangs,bangs,前髪
underwear,underwear,下着
navel,navel,ネーブル
white_background,white background,白色の背景
meta_score_1,meta score 1,メタスコア1
medium_breasts,medium breasts,メディア胸
shirt,shirt,シャツ
green_eyes,green eyes,緑の目
monochrome,monochrome,モノクローム
cleavage,cleavage,劈開
sitting,sitting,座っ
animal_ears,animal ears,動物の耳
meta_score_0,meta score 0,メタスコア0
panties,panties,パンティー
long_sleeves,long sleeves,長袖
translated,translated,翻訳
meta_score_2,meta score 2,メタスコア2
blue_hair,blue hair,青い髪
kantai_collection,kantai collection,艦隊コレクション
nipples,nipples,乳首
very_long_hair,very long hair,非常に長い髪
commentary_request,commentary request,解説要求
meta_score_3,meta score 3,メタスコア3
age_rating_e,age rating e,年齢レーティング電子
comic,comic,漫画
jewelry,jewelry,宝石
bare_shoulders,bare shoulders,裸の肩
eyebrows_visible_through_hair,eyebrows visible through hair,髪を通して見える眉毛
purple_eyes,purple eyes,紫目
absurdres,absurdres,超高解像度
closed_eyes,closed eyes,目を閉じ
hair_ribbon,hair ribbon,髪のリボン
weapon,weapon,武器
greyscale,greyscale,グレースケール
meta_score_4,meta score 4,メタスコア4
black_legwear,black legwear,黒のレッグウェア
ponytail,ponytail,ポニーテール
purple_hair,purple hair,紫の髪
yellow_eyes,yellow eyes,黄色目
pink_hair,pink hair,ピンクの髪
meta_score_5,meta score 5,メタスコア5
holding,holding,ホールディング
hair_bow,hair bow,毛の弓
tail,tail,尾
swimsuit,swimsuit,水着
ass,ass,尻
silver_hair,silver hair,銀の髪
standing,standing,常任
flower,flower,花
translation_request,translation request,翻訳依頼
braid,braid,組紐
meta_score_6,meta score 6,メタスコア6
hairband,hairband,ヘアバンド
full_body,full body,フルボディ
pantyhose,pantyhose,パンスト
ahoge,ahoge,アホ毛
:d,:d,：D
hair_between_eyes,hair between eyes,目の間の毛
boots,boots,ブーツ
collarbone,collarbone,鎖骨
red_hair,red hair,赤毛
wings,wings,翼
nude,nude,ヌード
green_hair,green hair,緑色の髪
heart,heart,ハート
glasses,glasses,眼鏡
japanese_clothes,japanese clothes,和服
meta_score_7,meta score 7,メタスコア7
serafuku,serafuku,セーラー服
one_eye_closed,one eye closed,片目を閉じました
detached_sleeves,detached sleeves,デタッチ袖
male_focus,male focus,男性の焦点
food,food,食物
multiple_boys,multiple boys,複数の男の子
lying,lying,横たわります
pleated_skirt,pleated skirt,プリーツスカート
jacket,jacket,ジャケット
short_sleeves,short sleeves,半袖
bikini,bikini,ビキニ
sweat,sweat,汗
barefoot,barefoot,裸足
small_breasts,small breasts,小さな胸
necktie,necktie,ネクタイ
censored,censored,検閲
meta_score_8,meta score 8,メタスコア8
closed_mouth,closed mouth,口を閉じ
upper_body,upper body,上半身
hetero,hetero,ヘテロ
shoes,shoes,靴
white_hair,white hair,白髪
tears,tears,涙
white_legwear,white legwear,白レッグウェア
sky,sky,空
fate_(series),fate (series),運命（シリーズ）
elbow_gloves,elbow gloves,肘手袋
pussy,pussy,プッシー
striped,striped,ストライピング
sword,sword,剣
meta_score_9,meta score 9,メタスコア9
penis,penis,陰茎
3girls,3girls,女の子３人
commentary,commentary,解説
frills,frills,フリル
earrings,earrings,イヤリング
open_clothes,open clothes,オープン服
midriff,midriff,上腹部
cowboy_shot,cowboy shot,カウボーイショット
official_art,official art,公式アート
looking_back,looking back,振り返ってる
day,day,日
fang,fang,牙
alternate_costume,alternate costume,別の衣装
shorts,shorts,ショートパンツ
solo_focus,solo focus,ソロフォーカス
pointy_ears,pointy ears,先のとがった耳
sidelocks,sidelocks,sidelocks
hairclip,hairclip,ヘアークリップ
tongue,tongue,舌
idolmaster,idolmaster,アイドルマスター
parted_lips,parted lips,別れた唇
cat_ears,cat ears,猫耳
choker,choker,チョーカー
cloud,cloud,雲
outdoors,outdoors,屋外
cum,cum,兼
belt,belt,ベルト
white_shirt,white shirt,白のシャツ
horns,horns,ホルン
chibi,chibi,ちび
2boys,2boys,2boys
thighs,thighs,太もも
artist_request,artist request,アーティスト要求
puffy_sleeves,puffy sleeves,ふくらんで袖
uniform,uniform,ユニフォーム
fingerless_gloves,fingerless gloves,指手袋
multicolored_hair,multicolored hair,色とりどりの髪
vocaloid,vocaloid,VOCALOID
yuri,yuri,百合
spread_legs,spread legs,足を広げる
scarf,scarf,スカーフ
pink_eyes,pink eyes,ピンクの目
sleeveless,sleeveless,袖無し
white_gloves,white gloves,白い手袋
hair_flower,hair flower,髪の花
white_panties,white panties,白いパンティー
cape,cape,ケープ
kimono,kimono,着物
flat_chest,flat chest,平らな胸
side_ponytail,side ponytail,サイドポニーテール
star,star,星
socks,socks,靴下
water,water,水
on_back,on back,後ろに
shiny,shiny,シャイニー
sex,sex,性別
sweatdrop,sweatdrop,sweatdrop
miniskirt,miniskirt,ミニスカート
sketch,sketch,スケッチ
teeth,teeth,歯牙
armpits,armpits,脇の下
character_name,character name,キャラクター名
:o,:o,：O
zettai_ryouiki,zettai ryouiki,絶対領域
black_eyes,black eyes,黒目
artist_name,artist name,アーティスト名
armor,armor,鎧
bra,bra,ブラジャー
wide_sleeves,wide sleeves,広い袖
huge_breasts,huge breasts,巨乳
tongue_out,tongue out,舌を出す
twin_braids,twin braids,ツイン三つ編み
bag,bag,バッグ
black_gloves,black gloves,黒手袋
aqua_eyes,aqua eyes,アクア目
fate/grand_order,fate/grand order,運命/壮大順
orange_hair,orange hair,オレンジ色の髪
covered_nipples,covered nipples,カバー乳首
from_behind,from behind,背後から
dark_skin,dark skin,黒い肌
necklace,necklace,ネックレス
hood,hood,フード
bunny_ears,bunny ears,うさぎの耳
apron,apron,エプロン
lowres,lowres,lowres
grin,grin,にっこり笑います
signature,signature,署名
military,military,軍事的
vest,vest,ベスト
lips,lips,唇
grey_hair,grey hair,灰色の髪の毛
feet,feet,足
blunt_bangs,blunt bangs,鈍い前髪
bracelet,bracelet,ブレスレット
idolmaster_cinderella_girls,idolmaster cinderella girls,アイドルマスターシンデレラの女の子
bowtie,bowtie,ちょうネクタイ
copyright_request,copyright request,著作権のリクエスト
hair_over_one_eye,hair over one eye,片目を超える髪
two_side_up,two side up,両サイドアップ
vaginal,vaginal,膣
pants,pants,パンツ
high_heels,high heels,ハイヒール
book,book,本
4girls,4girls,女の子4人
dated,dated,日付
4koma,4koma,4コマ漫画
tree,tree,木
hatsune_miku,hatsune miku,初音ミク
gun,gun,銃
kneehighs,kneehighs,がkneehighs
pokemon,pokemon,ポケットモンスター
military_uniform,military uniform,軍服
indoors,indoors,屋内
legs,legs,下肢
hug,hug,抱擁
collar,collar,襟
sailor_collar,sailor collar,セーラー襟
maid,maid,メイド
open_shirt,open shirt,オープンシャツ
arms_up,arms up,手を上げて
nail_polish,nail polish,ネールポリッシュ
hakurei_reimu,hakurei reimu,博麗霊夢
cosplay,cosplay,コスプレ
twitter_username,twitter username,Twitterのユーザー名
mosaic_censoring,mosaic censoring,モザイク検閲
cat_tail,cat tail,猫の尻尾
scan,scan,スキャン
torn_clothes,torn clothes,裂けた服
black_skirt,black skirt,黒のスカート
one-piece_swimsuit,one-piece swimsuit,ワンピース水着
dutch_angle,dutch angle,ダッチアングル
aqua_hair,aqua hair,アクア髪
sweater,sweater,セーター
kirisame_marisa,kirisame marisa,魔理沙魔理沙
kneeling,kneeling,跪け
mahou_shoujo_madoka_magica,mahou shoujo madoka magica,魔法少女まどかマギカ
petals,petals,花びら
plaid,plaid,格子縞
hand_on_hip,hand on hip,腰上の手
looking_at_another,looking at another,別のを見て
no_bra,no bra,何のブラジャーません
wrist_cuffs,wrist cuffs,手首カフス
wet,wet,ぬれました
head_tilt,head tilt,頭部傾斜
white_dress,white dress,白いドレス
6+girls,6+girls,6人の+女の子
no_panties,no panties,何のパンティーありません
arm_up,arm up,アップアーム
loli,loli,ロリ
sash,sash,サッシ
shiny_skin,shiny skin,光沢のある皮膚
cup,cup,カップ
off_shoulder,off shoulder,肩オフ
maid_headdress,maid headdress,メイド頭飾り
groin,groin,股
mole,mole,モル
blood,blood,血液
holding_weapon,holding weapon,保持武器
bed,bed,ベッド
pillow,pillow,枕
witch_hat,witch hat,魔女の帽子
ascot,ascot,アスコット
from_side,from side,サイドから
fruit,fruit,フルーツ
english_text,english text,英語のテキスト
pubic_hair,pubic hair,陰毛
eyebrows,eyebrows,眉毛
magical_girl,magical girl,魔法少女
neckerchief,neckerchief,ネッカチーフ
saliva,saliva,唾液
v-shaped_eyebrows,v-shaped eyebrows,V字型の眉
sideboob,sideboob,sideboob
single_braid,single braid,シングル三つ編み
see-through,see-through,シースルー
pantyshot,pantyshot,pantyshot
collared_shirt,collared shirt,襟付きのシャツ
siblings,siblings,兄弟
puffy_short_sleeves,puffy short sleeves,ふくらん半袖
copyright_name,copyright name,著作権の名前
black_panties,black panties,黒いパンティー
parody,parody,パロディー
headphones,headphones,ヘッドフォン
^_^,^ ^,^ ^
bottomless,bottomless,底なしの
pussy_juice,pussy juice,マンコ汁
grey_background,grey background,灰色の背景
orange_eyes,orange eyes,オレンジ色の目
md5_mismatch,md5 mismatch,MD5不一致
underboob,underboob,underboob
headband,headband,鉢巻き
headgear,headgear,ヘッドギア
alternate_hairstyle,alternate hairstyle,別の髪型
no_humans,no humans,何人いません
leotard,leotard,レオタード
bodysuit,bodysuit,ボディースーツ
striped_legwear,striped legwear,ストライプレッグウェア
black_dress,black dress,黒い衣装
non-web_source,non-web source,非Webソース
traditional_media,traditional media,伝統的なメディア
umbrella,umbrella,傘
:3,:3,：3
sparkle,sparkle,輝く
hair_tubes,hair tubes,毛管
v,v,V
holding_hands,holding hands,手をつないで
fingernails,fingernails,指の爪
blue_skirt,blue skirt,青いスカート
remilia_scarlet,remilia scarlet,レミリア・スカーレット
profile,profile,プロフィール
red_neckwear,red neckwear,赤ネックウェアー
cameltoe,cameltoe,メコスジ
chain,chain,鎖
speech_bubble,speech bubble,吹き出し
capelet,capelet,capelet
drill_hair,drill hair,ドリル髪
stomach,stomach,胃
cover,cover,カバー
double_bun,double bun,ダブルパン
makeup,makeup,化粧
bare_legs,bare legs,裸の足
black_footwear,black footwear,黒の靴
blue_sky,blue sky,青空
gradient,gradient,勾配
side-tie_bikini,side-tie bikini,サイドタイビキニ
topless,topless,トップレス
uncensored,uncensored,無修正
bell,bell,ベル
dress_shirt,dress shirt,ドレスシャツ
cum_in_pussy,cum in pussy,猫の兼
izayoi_sakuya,izayoi sakuya,十六夜咲夜
red_ribbon,red ribbon,赤いリボン
thigh_boots,thigh boots,太もものブーツ
symbol-shaped_pupils,symbol-shaped pupils,シンボル型の生徒
game_cg,game cg,ゲームCG
glowing,glowing,輝きます
rose,rose,ローズ
areolae,areolae,乳輪
fox_ears,fox ears,キツネ耳
lingerie,lingerie,ランジェリー
bad_twitter_id,bad twitter id,悪いのTwitter ID
hand_up,hand up,手のアップ
red_bow,red bow,赤い弓
school_swimsuit,school swimsuit,スクール水着
window,window,窓
bat_wings,bat wings,コウモリの翼
leaning_forward,leaning forward,前かがみ
anus,anus,肛門
wariza,wariza,wariza
coat,coat,コート
mask,mask,マスク
love_live!,love live!,ライブが大好き！
night,night,夜
blurry,blurry,ぼやけ
moon,moon,月
mouth_hold,mouth hold,口のホールド
arm_support,arm support,アームサポート
eyepatch,eyepatch,アイパッチ
bdsm,bdsm,緊縛
flandre_scarlet,flandre scarlet,フランドール・スカーレット
bound,bound,バウンド
hoodie,hoodie,パーカー
gradient_background,gradient background,グラデーション背景
skirt_lift,skirt lift,スカートリフト
blush_stickers,blush stickers,赤面ステッカー
turtleneck,turtleneck,タートルネック
precure,precure,プリキュア
fox_tail,fox tail,キツネのしっぽ
eyelashes,eyelashes,睫毛
shirt_lift,shirt lift,シャツリフト
bird,bird,鳥
embarrassed,embarrassed,恥ずかしい
two-tone_hair,two-tone hair,ツートンカラーの髪
eating,eating,食べること
hair_bobbles,hair bobbles,ヘアbobbles
sleeves_past_wrists,sleeves past wrists,過去の手首スリーブ
transparent_background,transparent background,透明な背景
leaf,leaf,葉
5girls,5girls,5girls
fur_trim,fur trim,毛皮のトリム
plaid_skirt,plaid skirt,チェック柄のスカート
underwear_only,underwear only,下着のみ
grabbing,grabbing,グラブ
wavy_mouth,wavy mouth,波状口
frown,frown,顔をしかめます
garter_straps,garter straps,ガーターストラップ
beret,beret,ベレー
heterochromia,heterochromia,異色
short_shorts,short shorts,短い半ズボン
tattoo,tattoo,入れ墨
hat_ribbon,hat ribbon,帽子のリボン
back,back,バック
